token,trace_sha256,runtime_sec,error
4f0b483189a55d6fbfbe1aa602c547203ff71fc80ea3e8ddffa68cd4659cbe72,c5cc96b55eb4a81f9d5f92556d193e7a98ce15b6d195d58e8d2d99d10132d1a6,12.308889169000011,
23073fdae3266703f457e6da4fd78bef24274f99d4a21cd63de354959aed8786,7f5b5526fc1f1832ad42c47854471d5ccf850a3370f6b2995087f5ae3f3dade4,7.9059431390000015,
31d39b8056b2fbfe8a91a3d287627174385bbaf7d4b8f1ab57b38f252f1712b7,78587d330026afbb35990c7a8f6b0fd99113d34951f65060e86568e50fac60ff,8.593230681000009,
e709bf2c5ad0318d80fd4bb74d18c9bddb938f8580fdbe5971c9fce8773fcee4,1f5fc13cc46b4c1da13f0143434fffd13d6c14cd7eb1c0a6ad8ee3a950edcff3,12.840486958,
7f1ba371605df007abda33e4d95bba21429be40e69ae7420f8777d404c2c5ff6,e764b89d763f9a0a92a32b5fae9b2a2424a675cacd6b1b476a3d00419e8178bd,10.620258942000007,
26e243e173884e2e1900b740ca43a50e3f3550e7a485798e6a7af67b1846cec0,7d70b58584a78536cfddbd6c93170778fbfe97467357b26048dbe0201b18f268,18.857278408,
ec0d6d85c69feced5abb24feb99c05855d716025f05e65c97357e5092a90e78a,39703ed7c01cfe4c334372bfe91ac30c58537034bda9a249484b4ad3ccb9f182,8.154418140000018,
a0b4ebc797ff9bc0b68f5ef5e8ac1694c0cba89f5911de3da29276758d5b4476,96d4a1f87a71fe6c15b0ac78bda8cff7973e3efbfc24c327f5c67d2c1745ba4b,9.621445684999998,
516f008dd237b9b193664907dd73e141a72912ebd1c92e39c532bcccde079479,000a2e873de53c5d37416df83abd9999406b32f768daa40618ff6e779e511bbe,11.043529827999976,
fb11c2aa8703a6e6533ae757a04f675c21809c3a7d10110c554b67e34211bab9,2f9d9498dace82814ae985131034b2f93763b861da402c1bcb684ca21261668d,11.348920604,
1b1f89a6b2ffcca44d653c70dbcb2c222324e9ea05b5371a9c78d2ed28c27ab7,2172e84381b64dd5154d4f9c508b415cee26ca002c96f968beb6e7bdcc272eff,11.352257319000017,
029d82fe1ca28d5639e6c49c1e1befd6b833b489a8c566fe9b8f6fad30f27e86,4002b73160994f696cc1daad2f5cb9a74a6ea04571831b07d41bde902402287b,10.292875861999988,
e14a5499192d24cc5970ae201ed7632d26ab1c2f25322008e5e135d5d27500ac,c7e60e72bae577d4d7356d2eee48cf15d56fb45312875b4912d594143b4c4460,10.597193865999998,
a01e9e396c0bd018a5cffb8ccaa9c26e380e39770b45e973b8e2b6f559fb93ca,6597f7f10027336ff3ec5c7c449d3a42cbb33f9a898a46f93b79e8283c8ffea3,9.451589529999978,
